OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
Q round507-s17 2 (63, 45, 36, 57) 22.04938322884206 gpu 1
Q round507-s17 3 (63, 58, 28, 16) 23.064428645149036 gpu 0
Q round507-s17 4 (24, 34, 4, 41) 22.64115391655937 gpu 1
Q round507-s17 5 (48, 21, 44, 56) 25.682524909012756 gpu 0
Q round507-s17 6 (48, 53, 28, 33) 19.84558918517132 gpu 1
Q round507-s17 7 (8, 69, 20, 56) 25.5335465099392 gpu 0
Q round507-s17 8 (24, 69, 36, 33) 24.52950692823411 gpu 1
Q round507-s17 9 (64, 58, 52, 14) 24.475639458178925 gpu 0
Q round507-s17 10 (39, 45, 68, 56) 22.961110978464657 gpu 1
Q round507-s17 11 (48, 21, 20, 56) 28.6630839444649 gpu 0
Q round507-s17 12 (8, 53, 28, 33) 25.00400790460629 gpu 1
Q round507-s17 13 (24, 58, 36, 57) 18.744639603659024 gpu 0
Q round507-s17 14 (4, 39, 7, 12) 43.706219103014874 gpu 1
Q round507-s17 15 (5, 69, 35, 45) 114.23313777107892 gpu 0
ROUND 507 n 8208 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 35
Q round508-s17 0 (38, 5, 12, 40) 24.03807736598685 gpu 1
Q round508-s17 1 (39, 29, 68, 33) 24.127768234997394 gpu 0
Q round508-s17 2 (24, 29, 44, 56) 23.617816270774522 gpu 1
Q round508-s17 3 (24, 34, 60, 56) 26.212860951104936 gpu 0
Q round508-s17 4 (24, 13, 4, 57) 24.923383607488017 gpu 1
Q round508-s17 5 (24, 69, 60, 33) 25.013005854054434 gpu 0
Q round508-s17 6 (8, 13, 68, 57) 23.9013917556239 gpu 1
Q round508-s17 7 (48, 69, 68, 33) 19.429758118607392 gpu 0
Q round508-s17 8 (48, 45, 4, 32) 25.323797347567425 gpu 1
Q round508-s17 9 (48, 5, 68, 33) 26.890318299151428 gpu 0
Q round508-s17 10 (63, 58, 60, 33) 22.31764362331118 gpu 1
Q round508-s17 11 (63, 45, 60, 57) 22.035769646403054 gpu 0
Q round508-s17 12 (64, 53, 68, 57) 24.496485471965745 gpu 1
Q round508-s17 13 (24, 34, 36, 56) 25.916517297266758 gpu 0
Q round508-s17 14 (57, 40, 27, 8) 46.734913463604464 gpu 1
Q round508-s17 15 (60, 37, 1, 14) 50.455767171238435 gpu 0
ROUND 508 n 8224 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 35
Q round509-s17 0 (63, 29, 12, 57) 21.20723676413641 gpu 1
Q round509-s17 1 (48, 69, 12, 57) 18.720516000490846 gpu 0
Q round509-s17 2 (63, 58, 52, 16) 23.89511959999998 gpu 1
Q round509-s17 3 (63, 34, 20, 16) 23.69483579883811 gpu 0
Q round509-s17 4 (48, 21, 28, 33) 27.415725045941464 gpu 1
Q round509-s17 5 (64, 69, 52, 33) 24.33473372562193 gpu 0
Q round509-s17 6 (48, 53, 12, 57) 19.171693540160394 gpu 1
Q round509-s17 7 (24, 34, 60, 33) 21.069923798330525 gpu 0
Q round509-s17 8 (24, 58, 60, 33) 22.71025750662419 gpu 1
Q round509-s17 9 (8, 29, 68, 33) 25.896138642029154 gpu 0
Q round509-s17 10 (39, 58, 60, 33) 24.39948715305281 gpu 1
Q round509-s17 11 (39, 34, 28, 56) 24.695911296361174 gpu 0
Q round509-s17 12 (63, 58, 60, 57) 22.29642852560573 gpu 1
Q round509-s17 13 (39, 58, 60, 57) 23.818227666290397 gpu 0
Q round509-s17 14 (38, 34, 58, 69) 115.13287292990618 gpu 1
Q round509-s17 15 (13, 71, 6, 66) 89.87536758061543 gpu 0
ROUND 509 n 8240 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 35
Q round510-s17 0 (39, 34, 4, 41) 22.263474358639602 gpu 1
Q round510-s17 1 (63, 34, 4, 64) 22.660414001101326 gpu 0
Q round510-s17 2 (39, 21, 44, 40) 24.158239604756194 gpu 1
Q round510-s17 3 (48, 34, 68, 9) 23.27818625489036 gpu 0
Q round510-s17 4 (64, 58, 28, 46) 24.116323513843025 gpu 1
Q round510-s17 5 (48, 53, 68, 33) 18.460152554813234 gpu 0
Q round510-s17 6 (8, 13, 12, 33) 24.551322346967925 gpu 1
Q round510-s17 7 (63, 58, 36, 57) 23.317280280713724 gpu 0
Q round510-s17 8 (63, 29, 12, 33) 23.27924146375045 gpu 1
Q round510-s17 9 (8, 13, 68, 33) 25.590697254208177 gpu 0
Q round510-s17 10 (63, 58, 36, 33) 22.72694915955612 gpu 1
Q round510-s17 11 (64, 29, 36, 57) 20.41269167390946 gpu 0
Q round510-s17 12 (24, 69, 20, 32) 24.254448713872858 gpu 1
Q round510-s17 13 (48, 69, 12, 9) 23.42352007704035 gpu 0
Q round510-s17 14 (66, 10, 2, 31) 106.68362806171062 gpu 1
Q round510-s17 15 (69, 59, 18, 40) 122.41666321018188 gpu 0
ROUND 510 n 8256 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 35
Q round511-s17 0 (62, 53, 12, 32) 23.398336712931968 gpu 1
Q round511-s17 1 (24, 34, 36, 9) 19.976435621507587 gpu 0
Q round511-s17 2 (39, 34, 44, 64) 22.74143680445245 gpu 1
Q round511-s17 3 (39, 45, 68, 17) 22.825853860388666 gpu 0
Q round511-s17 4 (38, 13, 44, 56) 22.695376717512254 gpu 1
Q round511-s17 5 (48, 5, 12, 57) 24.71153722186337 gpu 0
Q round511-s17 6 (39, 58, 36, 57) 23.504945099738812 gpu 1
Q round511-s17 7 (64, 34, 28, 65) 24.653957613167172 gpu 0
Q round511-s17 8 (64, 21, 36, 32) 24.3798403414246 gpu 1
Q round511-s17 9 (24, 29, 20, 56) 24.329935920325006 gpu 0
Q round511-s17 10 (24, 34, 36, 33) 21.02958892184628 gpu 1
Q round511-s17 11 (63, 58, 28, 1) 24.010643834978357 gpu 0
Q round511-s17 12 (64, 21, 60, 32) 23.619145739256805 gpu 1
Q round511-s17 13 (39, 58, 36, 33) 24.427480016196537 gpu 0
Q round511-s17 14 (44, 33, 48, 19) 149.72276462379367 gpu 1
Q round511-s17 15 (8, 62, 15, 49) 96.32974581679522 gpu 0
TRIGGER_UPDATE 511 8272 ['stagnation', 'eligible_collapse'] {"new_labels_since_update": 256, "evals_since_best": 1538, "recent_n": 128, "recent_spearman": 0.42667322834645666, "recent_high_uncertainty_fraction": 0.09375, "sigma_ref_p90": 0.04465319216251373, "eligible_pool": 0, "eligible_floor": 120}
ROUND 511 n 8272 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 1 updates_total 36
Q round512-s17 0 (48, 29, 52, 33) 19.566216036388003 gpu 1
Q round512-s17 1 (48, 29, 28, 57) 19.300228292941256 gpu 0
Q round512-s17 2 (48, 29, 68, 57) 19.76436356303194 gpu 1
Q round512-s17 3 (48, 69, 52, 33) 22.364422426791208 gpu 0
Q round512-s17 4 (48, 21, 36, 57) 23.464608982349166 gpu 1
Q round512-s17 5 (48, 69, 28, 57) 20.996475347964545 gpu 0
Q round512-s17 6 (48, 45, 36, 33) 26.14347412491802 gpu 1
Q round512-s17 7 (48, 13, 28, 33) 23.32981011198556 gpu 0
Q round512-s17 8 (48, 53, 52, 33) 22.04405089159668 gpu 1
Q round512-s17 9 (48, 13, 68, 33) 23.67095932769503 gpu 0
Q round512-s17 10 (48, 53, 28, 57) 21.711427392445444 gpu 1
Q round512-s17 11 (48, 21, 60, 57) 20.2340317788899 gpu 0
Q round512-s17 12 (48, 45, 60, 33) 25.58815561357659 gpu 1
Q round512-s17 13 (48, 5, 36, 57) 23.372126217785947 gpu 0
Q round512-s17 14 (13, 69, 21, 61) 116.23511906344936 gpu 1
Q round512-s17 15 (63, 45, 60, 13) 82.38274693314165 gpu 0
ROUND 512 n 8288 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 2 update 0 updates_total 36
Q round513-s17 0 (48, 13, 12, 57) 22.62444227765807 gpu 1
Q round513-s17 1 (48, 69, 68, 57) 21.934644327050524 gpu 0
Q round513-s17 2 (48, 5, 60, 57) 20.523863755054574 gpu 1
Q round513-s17 3 (48, 53, 68, 57) 22.03197515988452 gpu 0
Q round513-s17 4 (48, 29, 52, 57) 21.963088412636896 gpu 1
Q round513-s17 5 (48, 13, 52, 33) 24.642727624243538 gpu 0
Q round513-s17 6 (64, 29, 60, 57) 20.802930772288303 gpu 1
Q round513-s17 7 (64, 69, 36, 57) 24.4882913558346 gpu 0
Q round513-s17 8 (48, 13, 28, 57) 25.17009058815558 gpu 1
Q round513-s17 9 (48, 69, 52, 57) 24.11665035194391 gpu 0
Q round513-s17 10 (64, 69, 60, 57) 21.242692615889222 gpu 1
Q round513-s17 11 (64, 53, 36, 57) 24.03418101521865 gpu 0
Q round513-s17 12 (48, 13, 68, 57) 25.441561030749774 gpu 1
Q round513-s17 13 (48, 45, 36, 57) 27.04541734503494 gpu 0
Q round513-s17 14 (31, 53, 3, 53) 118.99392092366756 gpu 1
Q round513-s17 15 (44, 8, 35, 59) 165.95981285422872 gpu 0
ROUND 513 n 8304 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round514-s17 0 (48, 53, 52, 57) 23.224342083620705 gpu 1
Q round514-s17 1 (48, 45, 60, 57) 27.588207325753924 gpu 0
Q round514-s17 2 (64, 53, 60, 57) 21.4084332872946 gpu 1
Q round514-s17 3 (64, 13, 36, 57) 25.70772479624718 gpu 0
Q round514-s17 4 (24, 58, 36, 33) 20.951218614174422 gpu 1
Q round514-s17 5 (39, 29, 36, 33) 21.837796383996416 gpu 0
Q round514-s17 6 (24, 34, 60, 57) 22.280900406478008 gpu 1
Q round514-s17 7 (64, 13, 60, 57) 26.544873644618047 gpu 0
Q round514-s17 8 (24, 34, 36, 57) 21.861908337694544 gpu 1
Q round514-s17 9 (39, 29, 60, 33) 22.298803712158705 gpu 0
Q round514-s17 10 (39, 69, 36, 33) 25.59533977435147 gpu 1
Q round514-s17 11 (63, 29, 36, 33) 26.02404021861305 gpu 0
Q round514-s17 12 (39, 53, 36, 33) 22.337170804238596 gpu 1
Q round514-s17 13 (39, 69, 60, 33) 21.122606410765773 gpu 0
Q round514-s17 14 (46, 41, 46, 11) 93.13022569852221 gpu 1
Q round514-s17 15 (27, 17, 67, 50) 89.52474064478855 gpu 0
ROUND 514 n 8320 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round515-s17 0 (8, 34, 60, 9) 21.83813408238675 gpu 1
Q round515-s17 1 (39, 13, 36, 33) 25.411620006646285 gpu 0
Q round515-s17 2 (8, 34, 36, 9) 21.05986137419947 gpu 1
Q round515-s17 3 (48, 58, 60, 33) 21.018958648031667 gpu 0
Q round515-s17 4 (39, 34, 60, 33) 23.26861765353089 gpu 1
Q round515-s17 5 (24, 58, 60, 9) 23.170786360071602 gpu 0
Q round515-s17 6 (63, 29, 60, 33) 23.495594313230587 gpu 1
Q round515-s17 7 (39, 53, 60, 33) 20.145317623691458 gpu 0
Q round515-s17 8 (48, 58, 36, 33) 21.120101966521357 gpu 1
Q round515-s17 9 (8, 58, 60, 57) 21.498388492456616 gpu 0
Q round515-s17 10 (48, 58, 60, 57) 21.581740651202303 gpu 1
Q round515-s17 11 (39, 13, 60, 33) 25.649193345100034 gpu 0
Q round515-s17 12 (63, 34, 60, 33) 22.19268566341708 gpu 1
Q round515-s17 13 (48, 34, 12, 57) 20.747844790057083 gpu 0
Q round515-s17 14 (24, 19, 44, 23) 55.414524406461084 gpu 1
Q round515-s17 15 (21, 51, 11, 27) 116.63521418272401 gpu 0
ROUND 515 n 8336 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round516-s17 0 (63, 13, 52, 57) 22.244368019324796 gpu 1
Q round516-s17 1 (39, 34, 60, 57) 19.947922294803302 gpu 0
Q round516-s17 2 (39, 34, 36, 33) 22.28275964801977 gpu 1
Q round516-s17 3 (48, 34, 28, 9) 23.517253207035207 gpu 0
Q round516-s17 4 (63, 34, 36, 33) 24.396397721157395 gpu 1
Q round516-s17 5 (24, 34, 44, 49) 21.16813324382357 gpu 0
Q round516-s17 6 (24, 58, 36, 9) 21.58946037726508 gpu 1
Q round516-s17 7 (48, 58, 36, 57) 21.8598932509537 gpu 0
Q round516-s17 8 (48, 5, 36, 56) 25.45167967772289 gpu 1
Q round516-s17 9 (48, 58, 68, 39) 22.95256983345317 gpu 0
Q round516-s17 10 (48, 29, 36, 33) 28.152924981598034 gpu 1
Q round516-s17 11 (48, 21, 36, 56) 24.674998044925815 gpu 0
Q round516-s17 12 (63, 34, 52, 57) 24.139017336390978 gpu 1
Q round516-s17 13 (48, 34, 12, 33) 24.26546381414798 gpu 0
Q round516-s17 14 (13, 69, 36, 70) 53.886930129255376 gpu 1
Q round516-s17 15 (40, 19, 58, 64) 332.77134168794515 gpu 0
ROUND 516 n 8352 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round517-s17 0 (24, 29, 36, 57) 25.87383202740461 gpu 1
Q round517-s17 1 (39, 34, 60, 9) 23.16272960931568 gpu 0
Q round517-s17 2 (48, 58, 28, 39) 23.724176545395235 gpu 1
Q round517-s17 3 (64, 58, 59, 17) 45.83893615096991 gpu 0
Q round517-s17 4 (48, 13, 52, 57) 26.05081293143124 gpu 1
Q round517-s17 5 (63, 69, 36, 33) 26.149935679355963 gpu 0
Q round517-s17 6 (48, 13, 12, 56) 23.045365291283165 gpu 1
Q round517-s17 7 (48, 58, 52, 17) 24.781099798221085 gpu 0
Q round517-s17 8 (24, 34, 20, 49) 22.832805053889206 gpu 1
Q round517-s17 9 (48, 34, 68, 57) 24.361287576262004 gpu 0
Q round517-s17 10 (64, 58, 35, 17) 39.88344051898511 gpu 1
Q round517-s17 11 (48, 21, 60, 56) 24.353008670402275 gpu 0
Q round517-s17 12 (24, 13, 36, 33) 26.167302400468614 gpu 1
Q round517-s17 13 (48, 34, 12, 9) 23.27783509815725 gpu 0
Q round517-s17 14 (10, 43, 44, 45) 109.2017767439893 gpu 1
Q round517-s17 15 (65, 37, 7, 46) 78.66901152579108 gpu 0
ROUND 517 n 8368 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round518-s17 0 (39, 34, 36, 57) 23.30511667684453 gpu 1
Q round518-s17 1 (8, 13, 28, 57) 23.986928135236212 gpu 0
Q round518-s17 2 (63, 34, 68, 57) 22.621416250986154 gpu 1
Q round518-s17 3 (64, 58, 59, 1) 45.13769534030895 gpu 0
Q round518-s17 4 (63, 53, 36, 33) 25.93899968141547 gpu 1
Q round518-s17 5 (48, 5, 60, 56) 23.723502010096585 gpu 0
Q round518-s17 6 (48, 69, 68, 56) 24.742026494408464 gpu 1
Q round518-s17 7 (64, 58, 35, 1) 38.99149704164723 gpu 0
Q round518-s17 8 (48, 34, 68, 33) 21.828952918505536 gpu 1
Q round518-s17 9 (8, 58, 36, 57) 20.996162336671212 gpu 0
Q round518-s17 10 (8, 53, 44, 1) 24.51863839746951 gpu 1
Q round518-s17 11 (48, 53, 68, 56) 22.924121090794696 gpu 0
Q round518-s17 12 (24, 29, 60, 57) 25.61196017632311 gpu 1
Q round518-s17 13 (48, 29, 60, 33) 27.05809042765062 gpu 0
Q round518-s17 14 (26, 29, 60, 37) 100.6689242223987 gpu 1
Q round518-s17 15 (31, 6, 6, 45) 216.76942863736573 gpu 0
ROUND 518 n 8384 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round519-s17 0 (39, 29, 36, 57) 26.640287108285246 gpu 1
Q round519-s17 1 (8, 13, 52, 57) 26.71252158170463 gpu 0
Q round519-s17 2 (24, 13, 60, 33) 25.79794224367973 gpu 1
Q round519-s17 3 (48, 58, 68, 57) 25.514751988267175 gpu 0
Q round519-s17 4 (64, 34, 60, 9) 22.804347911557276 gpu 1
Q round519-s17 5 (63, 34, 12, 57) 23.698299090146925 gpu 0
Q round519-s17 6 (48, 58, 36, 25) 23.711191096014403 gpu 1
Q round519-s17 7 (48, 58, 68, 63) 24.347066545735455 gpu 0
Q round519-s17 8 (63, 34, 60, 57) 26.098160185585726 gpu 1
Q round519-s17 9 (8, 13, 52, 33) 23.554138009742744 gpu 0
Q round519-s17 10 (48, 58, 28, 63) 23.828918937251874 gpu 1
Q round519-s17 11 (48, 58, 52, 57) 23.79561146946808 gpu 0
Q round519-s17 12 (8, 58, 60, 33) 24.28910409396465 gpu 1
Q round519-s17 13 (48, 58, 52, 38) 23.611148161105117 gpu 0
Q round519-s17 14 (63, 56, 51, 14) 47.27413966123547 gpu 1
Q round519-s17 15 (40, 25, 41, 23) 96.08408096235418 gpu 0
ROUND 519 n 8400 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round520-s17 0 (8, 58, 20, 46) 23.10635500184578 gpu 1
Q round520-s17 1 (38, 13, 52, 57) 23.039647930402605 gpu 0
Q round520-s17 2 (39, 34, 12, 16) 23.761970257690248 gpu 1
Q round520-s17 3 (48, 34, 4, 1) 25.2812696363147 gpu 0
Q round520-s17 4 (62, 13, 52, 57) 24.738833427449272 gpu 1
Q round520-s17 5 (63, 34, 28, 57) 23.069520794437796 gpu 0
Q round520-s17 6 (48, 34, 28, 57) 24.599540146666026 gpu 1
Q round520-s17 7 (8, 34, 44, 62) 24.06550328841933 gpu 0
Q round520-s17 8 (24, 58, 28, 25) 25.275348717652264 gpu 1
Q round520-s17 9 (62, 21, 36, 32) 22.865668601130768 gpu 0
Q round520-s17 10 (8, 58, 68, 63) 24.33025462009189 gpu 1
Q round520-s17 11 (63, 69, 60, 33) 25.82476333868569 gpu 0
Q round520-s17 12 (8, 29, 60, 57) 24.425460277069938 gpu 1
Q round520-s17 13 (64, 34, 12, 25) 24.825890711419504 gpu 0
Q round520-s17 14 (63, 43, 26, 34) 111.44044272239752 gpu 1
Q round520-s17 15 (52, 54, 14, 5) 63.707766093669385 gpu 0
ROUND 520 n 8416 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round521-s17 0 (39, 34, 44, 48) 23.382256897395067 gpu 1
Q round521-s17 1 (39, 45, 28, 1) 23.577450078769314 gpu 0
Q round521-s17 2 (39, 45, 28, 17) 24.03890169312035 gpu 1
Q round521-s17 3 (63, 34, 36, 57) 26.19906409568947 gpu 0
Q round521-s17 4 (8, 58, 68, 41) 25.188769129911165 gpu 1
Q round521-s17 5 (8, 29, 36, 57) 25.082565325731657 gpu 0
Q round521-s17 6 (64, 34, 36, 9) 22.075187306654566 gpu 1
Q round521-s17 7 (48, 34, 28, 33) 23.028537336246174 gpu 0
Q round521-s17 8 (63, 53, 60, 33) 27.02146257149427 gpu 1
Q round521-s17 9 (48, 58, 4, 1) 23.78888781765834 gpu 0
Q round521-s17 10 (62, 29, 52, 57) 22.701966933829073 gpu 1
Q round521-s17 11 (39, 34, 4, 49) 21.92631244249038 gpu 0
Q round521-s17 12 (62, 21, 60, 32) 23.494647020408 gpu 1
Q round521-s17 13 (8, 34, 60, 57) 22.653896239492212 gpu 0
Q round521-s17 14 (49, 57, 28, 55) 61.410608219232216 gpu 1
Q round521-s17 15 (45, 46, 19, 52) 419.32730618428116 gpu 0
ROUND 521 n 8432 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round522-s17 0 (38, 45, 12, 0) 21.53659594411087 gpu 1
Q round522-s17 1 (8, 58, 4, 22) 23.28233949442345 gpu 0
Q round522-s17 2 (38, 5, 36, 56) 24.17777922564206 gpu 1
Q round522-s17 3 (39, 34, 52, 57) 24.19739452287814 gpu 0
Q round522-s17 4 (8, 34, 68, 25) 23.242509134000596 gpu 1
Q round522-s17 5 (48, 58, 12, 57) 26.284047390643135 gpu 0
Q round522-s17 6 (48, 34, 44, 57) 23.807601315100346 gpu 1
Q round522-s17 7 (39, 29, 60, 57) 24.116478685230064 gpu 0
Q round522-s17 8 (39, 34, 28, 1) 24.342341205128676 gpu 1
Q round522-s17 9 (64, 58, 52, 54) 25.55117760296257 gpu 0
Q round522-s17 10 (38, 5, 60, 56) 23.93299743610762 gpu 1
Q round522-s17 11 (62, 5, 36, 32) 22.829076943101388 gpu 0
Q round522-s17 12 (8, 34, 60, 33) 22.119020005380705 gpu 1
Q round522-s17 13 (64, 13, 60, 32) 24.370700569240448 gpu 0
Q round522-s17 14 (62, 32, 10, 14) 98.49799818524558 gpu 1
Q round522-s17 15 (23, 16, 13, 4) 155.83682917752176 gpu 0
ROUND 522 n 8448 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round523-s17 0 (39, 34, 20, 48) 21.887200349451923 gpu 1
Q round523-s17 1 (63, 13, 36, 9) 24.20883897074991 gpu 0
Q round523-s17 2 (63, 34, 52, 33) 23.445365266738595 gpu 1
Q round523-s17 3 (63, 34, 20, 24) 24.68590064785197 gpu 0
Q round523-s17 4 (62, 5, 60, 32) 23.824346913481982 gpu 1
Q round523-s17 5 (8, 58, 28, 39) 23.885907771751246 gpu 0
Q round523-s17 6 (48, 58, 28, 57) 25.919431305270816 gpu 1
Q round523-s17 7 (8, 58, 52, 38) 25.18000614820179 gpu 0
Q round523-s17 8 (39, 34, 68, 1) 24.648667838876865 gpu 1
Q round523-s17 9 (25, 69, 36, 32) 23.44690138837596 gpu 0
Q round523-s17 10 (63, 34, 4, 17) 23.506402093949088 gpu 1
Q round523-s17 11 (8, 58, 60, 1) 23.598048354035257 gpu 0
Q round523-s17 12 (64, 5, 60, 32) 22.888408345517227 gpu 1
Q round523-s17 13 (8, 58, 28, 63) 24.09323639925791 gpu 0
Q round523-s17 14 (64, 31, 4, 7) 97.87137329124252 gpu 1
Q round523-s17 15 (70, 16, 49, 39) 112.31026845901127 gpu 0
ROUND 523 n 8464 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round524-s17 0 (62, 5, 36, 56) 23.149997622794164 gpu 1
Q round524-s17 1 (63, 34, 20, 17) 23.727709869458902 gpu 0
Q round524-s17 2 (38, 13, 68, 57) 23.786615950238193 gpu 1
Q round524-s17 3 (38, 13, 28, 57) 24.001488777858047 gpu 0
Q round524-s17 4 (48, 50, 60, 9) 29.00005019853067 gpu 1
Q round524-s17 5 (8, 34, 20, 62) 24.573621625447867 gpu 0
Q round524-s17 6 (48, 34, 20, 57) 27.11077905187695 gpu 1
Q round524-s17 7 (64, 34, 44, 63) 21.774315916941433 gpu 0
Q round524-s17 8 (63, 53, 44, 57) 22.61375915794827 gpu 1
Q round524-s17 9 (38, 29, 68, 32) 24.570910035771533 gpu 0
Q round524-s17 10 (48, 29, 52, 56) 24.54996516961077 gpu 1
Q round524-s17 11 (48, 58, 52, 33) 26.671875408857506 gpu 0
Q round524-s17 12 (8, 34, 44, 38) 24.078238568202668 gpu 1
Q round524-s17 13 (8, 34, 36, 57) 22.766359273390535 gpu 0
Q round524-s17 14 (41, 66, 65, 56) 63.071899861942015 gpu 1
Q round524-s17 15 (31, 41, 49, 66) 229.79783127626084 gpu 0
ROUND 524 n 8480 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round525-s17 0 (63, 34, 44, 41) 23.167133343647617 gpu 1
Q round525-s17 1 (48, 58, 28, 41) 25.629863388135618 gpu 0
Q round525-s17 2 (38, 21, 60, 32) 24.881130353763176 gpu 1
Q round525-s17 3 (38, 21, 36, 32) 24.341812449822353 gpu 0
Q round525-s17 4 (8, 58, 36, 33) 23.087778254720742 gpu 1
Q round525-s17 5 (48, 34, 60, 33) 24.104906852211304 gpu 0
Q round525-s17 6 (63, 34, 68, 33) 26.225192846555036 gpu 1
Q round525-s17 7 (64, 5, 36, 32) 22.504241927824136 gpu 0
Q round525-s17 8 (8, 13, 28, 33) 25.726854401804342 gpu 1
Q round525-s17 9 (25, 69, 36, 56) 26.685481332480705 gpu 0
Q round525-s17 10 (8, 58, 60, 32) 22.64064786211729 gpu 1
Q round525-s17 11 (8, 58, 52, 62) 24.523584311680867 gpu 0
Q round525-s17 12 (24, 34, 4, 49) 21.600647389943077 gpu 1
Q round525-s17 13 (8, 58, 12, 54) 23.45597820962715 gpu 0
Q round525-s17 14 (12, 62, 39, 51) 89.73391443725183 gpu 1
Q round525-s17 15 (50, 38, 37, 50) 120.04364738764043 gpu 0
ROUND 525 n 8496 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round526-s17 0 (62, 69, 52, 57) 21.877519951912664 gpu 1
Q round526-s17 1 (63, 58, 52, 48) 24.79786813416996 gpu 0
Q round526-s17 2 (39, 34, 4, 48) 22.38280451236406 gpu 1
Q round526-s17 3 (24, 58, 20, 46) 22.993404882601272 gpu 0
Q round526-s17 4 (64, 21, 44, 46) 26.922015637503637 gpu 1
Q round526-s17 5 (39, 58, 28, 40) 24.318952295273665 gpu 0
Q round526-s17 6 (48, 58, 52, 62) 24.605751254887156 gpu 1
Q round526-s17 7 (48, 34, 36, 33) 24.19831146216416 gpu 0
Q round526-s17 8 (48, 34, 52, 33) 23.888282456217922 gpu 1
Q round526-s17 9 (8, 58, 60, 9) 24.234234830493296 gpu 0
Q round526-s17 10 (63, 58, 60, 9) 22.932384286085266 gpu 1
Q round526-s17 11 (39, 58, 68, 40) 25.00578856719322 gpu 0
Q round526-s17 12 (62, 58, 60, 25) 32.92971634680888 gpu 1
Q round526-s17 13 (48, 58, 68, 33) 26.82149804249822 gpu 0
Q round526-s17 14 (28, 2, 3, 15) 1383.2674875697019 gpu 1
Q round526-s17 15 (36, 38, 46, 8) 74.03210227693648 gpu 0
ROUND 526 n 8512 bestJ 15.477280283970245 best (64, 34, 68, 38) eligible 0 update 0 updates_total 36
Q round527-s17 0 (39, 34, 20, 64) 23.907485619283058 gpu 1
Q round527-s17 1 (63, 34, 20, 48) 24.23885155474119 gpu 0
Q round527-s17 2 (63, 5, 68, 1) 24.547204875709216 gpu 1
Q round527-s17 3 (62, 45, 60, 56) 25.254682119692628 gpu 0
Q round527-s17 4 (64, 58, 60, 63) 26.102795397189276 gpu 1
Q round527-s17 5 (8, 34, 36, 33) 24.129418913274336 gpu 0
Q round527-s17 6 (38, 69, 12, 32) 23.956996397020216 gpu 1
Q round527-s17 7 (38, 13, 20, 56) 24.233453414121954 gpu 0
Q round527-s17 8 (63, 45, 68, 57) 23.69529643377532 gpu 1
Q round527-s17 9 (8, 58, 60, 56) 25.202412489034348 gpu 0
Q round527-s17 10 (48, 69, 36, 33) 27.706927658237895 gpu 1
Q round527-s17 11 (64, 58, 68, 46) 24.766040626904548 gpu 0
Q round527-s17 12 (63, 13, 36, 33) 26.669432690870785 gpu 1
Q round527-s17 13 (8, 5, 52, 56) 24.909096338307453 gpu 0
Q round527-s17 14 (33, 47, 63, 14) 91.29860374993284 gpu 1
Q round527-s17 15 (67, 29, 65, 54) 49.78190601405219 gpu 0
